unique_id,failed_transaction,succesful_transaction,revenue,profit,inventory_count
0,120,16,6783.8499999999985,884.8500000000001,420
1,176,18,9625.5,1255.5,229
2,146,20,9384.0,1224.0000000000005,263
3,120,18,7491.0999999999985,977.0999999999992,297
4,140,16,7893.600000000002,1029.599999999999,310
5,136,26,11046.900000000003,1440.8999999999987,238
6,160,28,11656.400000000003,1520.3999999999987,313
7,190,32,14002.4,1826.3999999999996,206
8,164,29,12880.0,1680.0,415
9,7,53,13786.199999999988,1798.199999999997,240
