unique_id,failed_transaction,succesful_transaction,revenue,profit,inventory_count
0,88,33,14984.499999999996,1954.4999999999995,297
1,14,55,11571.30000000001,1509.2999999999981,327
2,5,55,15386.999999999996,2007.0000000000023,321
3,93,25,10010.75,1305.749999999999,306
4,84,24,7691.199999999998,1003.1999999999992,244
5,8,53,14161.10000000001,1847.1000000000006,216
6,158,22,9349.5,1219.5000000000002,243
7,132,13,6533.1500000000015,852.1499999999994,280
8,128,13,6204.249999999999,809.2499999999995,164
9,107,19,5462.5,712.4999999999995,244
