1,181000
2,118000
3,346000
4,310000
5,145000
6,109000
7,184000
8,217000
9,268000
10,193000
11,232000
12,400000
13,328000
14,286000
15,400000
16,253000
17,229000
18,124000
19,343000
20,208000
21,256000
22,199000
23,187000
24,343000
25,304000
26,214000
27,196000
28,127000
29,187000
30,121000
31,172000
32,223000
33,268000
34,142000
35,202000
36,112000
37,142000
38,376000
39,274000
40,208000
41,124000
42,196000
43,337000
44,109000
45,253000
46,109000
47,244000
48,283000
49,220000
50,388000
51,349000
52,310000
53,202000
54,352000
55,391000
56,139000
57,295000
58,199000
59,322000
60,214000
61,244000
62,277000
63,370000
64,256000
65,112000
66,388000
67,298000
68,220000
69,283000
70,334000
71,178000
72,265000
73,205000
74,283000
75,148000
76,325000
77,136000
78,250000
79,376000
80,298000
81,148000
82,127000
83,178000
84,280000
85,130000
86,346000
87,235000
88,292000
89,310000
90,166000
91,196000
92,184000
93,118000
94,229000
95,379000
96,316000
97,118000
98,343000
99,130000
100,208000
101,364000
102,205000
103,358000
104,229000
105,211000
106,286000
107,262000
108,133000
109,184000
110,334000
111,199000
112,247000
113,106000
114,394000
115,127000
116,130000
117,289000
118,166000
119,388000
120,229000
121,283000
122,112000
123,301000
124,283000
125,184000
126,352000
127,226000
128,226000
129,100000
130,205000
131,208000
132,151000
133,340000
134,151000
135,187000
136,196000
137,220000
138,322000
139,343000
140,361000
141,253000
142,130000
143,217000
144,244000
145,388000
146,289000
147,379000
148,184000
149,316000
150,304000
151,346000
152,364000
153,196000
154,229000
155,103000
156,184000
157,397000
158,124000
159,343000
160,142000
161,199000
162,247000
163,217000
164,232000
165,370000
166,148000
167,256000
168,103000
169,181000
170,352000
171,181000
172,214000
173,343000
174,220000
175,319000
176,289000
177,115000
178,370000
179,322000
180,103000
181,295000
182,250000
183,397000
184,214000
185,352000
186,127000
187,199000
188,382000
189,229000
190,238000
191,229000
192,319000
193,292000
194,184000
195,178000
196,394000
197,322000
198,379000
199,184000
200,328000
201,106000
202,103000
203,214000
204,379000
205,211000
206,289000
207,196000
208,322000
209,289000
210,199000
211,283000
212,169000
213,361000
214,394000
215,160000
216,235000
217,100000
218,391000
219,382000
220,379000
221,286000
222,124000
223,364000
224,340000
225,286000
226,115000
227,373000
228,292000
229,340000
230,247000
231,283000
232,328000
233,145000
234,127000
235,196000
236,151000
237,394000
238,259000
239,292000
240,340000
241,157000
242,322000
243,376000
244,202000
245,340000
246,292000
247,397000
248,319000
249,355000
250,250000
251,190000
252,124000
253,124000
254,181000
255,274000
256,229000
257,373000
258,262000
259,367000
260,103000
261,241000
262,244000
263,208000
264,178000
265,394000
266,118000
267,373000
268,208000
269,160000
270,280000
271,301000
272,229000
273,139000
274,187000
275,139000
276,175000
277,220000
278,304000
279,169000
280,118000
281,397000
282,325000
283,262000
284,322000
285,361000
286,295000
287,373000
288,331000
289,136000
290,316000
291,187000
292,175000
293,127000
294,361000
