step,seller,customer,product,timestamp,cost,status
0,0,6,p2,1,243.79999999999998,SUCCESS
0,3,37,p1,1,220.79999999999998,FAILED_PRICE
0,3,37,p2,1,336.95,FAILED_PRICE
0,3,37,p3,1,387.54999999999995,FAILED_PRICE
0,3,37,p4,1,555.4499999999999,FAILED_PRICE
0,3,20,p4,1,555.4499999999999,SUCCESS
0,1,10,p2,1,282.9,FAILED_PRICE
0,1,10,p1,1,129.95,SUCCESS
0,3,46,p1,1,220.79999999999998,FAILED_PRICE
0,3,46,p2,1,336.95,FAILED_PRICE
0,3,46,p3,1,387.54999999999995,FAILED_PRICE
0,3,46,p4,1,555.4499999999999,FAILED_PRICE
0,2,12,p4,1,473.79999999999995,SUCCESS
0,1,49,p1,1,129.95,SUCCESS
0,0,38,p1,1,178.25,FAILED_PRICE
0,0,38,p2,1,243.79999999999998,FAILED_PRICE
0,0,38,p3,1,366.84999999999997,FAILED_PRICE
0,0,38,p4,1,463.45,FAILED_PRICE
0,1,23,p4,1,514.05,SUCCESS
0,2,24,p4,1,473.79999999999995,SUCCESS
0,2,28,p4,1,473.79999999999995,SUCCESS
0,2,27,p4,1,473.79999999999995,FAILED_EMPTY
0,2,27,p3,1,364.54999999999995,SUCCESS
0,1,19,p4,1,514.05,SUCCESS
1,2,13,p4,1,473.79999999999995,FAILED_EMPTY
1,2,13,p3,1,364.54999999999995,SUCCESS
1,0,40,p1,1,178.25,FAILED_PRICE
1,0,40,p2,1,243.79999999999998,FAILED_PRICE
1,0,40,p3,1,366.84999999999997,FAILED_PRICE
1,0,40,p4,1,463.45,FAILED_PRICE
1,1,16,p4,1,514.05,SUCCESS
1,3,21,p4,1,555.4499999999999,SUCCESS
1,3,44,p1,1,220.79999999999998,FAILED_PRICE
1,3,44,p2,1,336.95,FAILED_PRICE
1,3,44,p3,1,387.54999999999995,FAILED_PRICE
1,3,44,p4,1,555.4499999999999,FAILED_PRICE
1,1,18,p4,1,514.05,SUCCESS
1,2,7,p2,1,338.09999999999997,FAILED_PRICE
1,2,7,p1,1,147.2,SUCCESS
1,0,26,p4,1,463.45,SUCCESS
1,3,35,p1,1,220.79999999999998,FAILED_PRICE
1,3,35,p2,1,336.95,FAILED_PRICE
1,3,35,p3,1,387.54999999999995,FAILED_PRICE
1,3,35,p4,1,555.4499999999999,FAILED_PRICE
1,1,41,p1,1,129.95,SUCCESS
1,1,22,p4,1,514.05,SUCCESS
2,2,42,p1,1,147.2,FAILED_PRICE
2,2,42,p2,1,338.09999999999997,FAILED_PRICE
2,2,42,p3,1,364.54999999999995,FAILED_PRICE
2,2,42,p4,1,473.79999999999995,FAILED_PRICE
2,2,38,p1,1,147.2,FAILED_PRICE
2,2,38,p2,1,338.09999999999997,FAILED_PRICE
2,2,38,p3,1,364.54999999999995,FAILED_PRICE
2,2,38,p4,1,473.79999999999995,FAILED_PRICE
2,1,8,p2,1,282.9,FAILED_PRICE
2,1,8,p1,1,129.95,SUCCESS
2,2,11,p4,1,473.79999999999995,FAILED_EMPTY
2,2,11,p3,1,364.54999999999995,SUCCESS
2,0,17,p4,1,463.45,SUCCESS
2,1,25,p4,1,514.05,SUCCESS
2,0,5,p2,1,243.79999999999998,SUCCESS
2,3,39,p1,1,220.79999999999998,FAILED_PRICE
2,3,39,p2,1,336.95,FAILED_PRICE
2,3,39,p3,1,387.54999999999995,FAILED_PRICE
2,3,39,p4,1,555.4499999999999,FAILED_PRICE
2,1,43,p1,1,129.95,SUCCESS
2,0,37,p1,1,178.25,FAILED_PRICE
2,0,37,p2,1,243.79999999999998,FAILED_PRICE
2,0,37,p3,1,366.84999999999997,FAILED_PRICE
2,0,37,p4,1,463.45,FAILED_PRICE
2,3,29,p4,1,555.4499999999999,SUCCESS
2,2,4,p2,1,338.09999999999997,FAILED_PRICE
2,2,4,p1,1,147.2,SUCCESS
3,0,31,p4,1,463.45,SUCCESS
3,1,33,p1,1,129.95,SUCCESS
3,1,15,p4,1,514.05,SUCCESS
3,2,45,p1,1,147.2,FAILED_PRICE
3,2,45,p2,1,338.09999999999997,FAILED_PRICE
3,2,45,p3,1,364.54999999999995,FAILED_PRICE
3,2,45,p4,1,473.79999999999995,FAILED_PRICE
3,1,32,p4,1,514.05,SUCCESS
3,3,35,p1,1,220.79999999999998,FAILED_PRICE
3,3,35,p2,1,336.95,FAILED_PRICE
3,3,35,p3,1,387.54999999999995,FAILED_PRICE
3,3,35,p4,1,555.4499999999999,FAILED_PRICE
3,2,47,p1,1,147.2,FAILED_PRICE
3,2,47,p2,1,338.09999999999997,FAILED_PRICE
3,2,47,p3,1,364.54999999999995,FAILED_PRICE
3,2,47,p4,1,473.79999999999995,FAILED_PRICE
3,3,3,p2,1,336.95,FAILED_PRICE
3,3,3,p1,1,220.79999999999998,FAILED_PRICE
3,3,3,p3,1,387.54999999999995,FAILED_PRICE
3,3,3,p4,1,555.4499999999999,FAILED_PRICE
3,2,9,p2,1,338.09999999999997,FAILED_PRICE
3,2,9,p1,1,147.2,SUCCESS
3,1,44,p1,1,129.95,SUCCESS
3,0,14,p4,1,463.45,SUCCESS
3,0,30,p4,1,463.45,SUCCESS
3,3,34,p1,1,220.79999999999998,FAILED_PRICE
3,3,34,p2,1,336.95,FAILED_PRICE
3,3,34,p3,1,387.54999999999995,FAILED_PRICE
3,3,34,p4,1,555.4499999999999,FAILED_PRICE
3,2,36,p1,1,147.2,FAILED_PRICE
3,2,36,p2,1,338.09999999999997,FAILED_PRICE
3,2,36,p3,1,364.54999999999995,FAILED_PRICE
3,2,36,p4,1,473.79999999999995,FAILED_PRICE
4,0,40,p1,1,178.25,FAILED_PRICE
4,0,40,p2,1,243.79999999999998,FAILED_PRICE
4,0,40,p3,1,366.84999999999997,FAILED_PRICE
4,0,40,p4,1,463.45,FAILED_PRICE
4,1,37,p1,1,129.95,SUCCESS
4,3,38,p1,1,220.79999999999998,FAILED_PRICE
4,3,38,p2,1,336.95,FAILED_PRICE
4,3,38,p3,1,387.54999999999995,FAILED_PRICE
4,3,38,p4,1,555.4499999999999,FAILED_PRICE
4,1,2,p2,1,282.9,FAILED_PRICE
4,1,2,p1,1,129.95,SUCCESS
4,0,42,p1,1,178.25,FAILED_PRICE
4,0,42,p2,1,243.79999999999998,FAILED_PRICE
4,0,42,p3,1,366.84999999999997,FAILED_PRICE
4,0,42,p4,1,463.45,FAILED_PRICE
5,0,46,p1,1,178.25,FAILED_PRICE
5,0,46,p2,1,243.79999999999998,FAILED_PRICE
5,0,46,p3,1,366.84999999999997,FAILED_PRICE
5,0,46,p4,1,463.45,FAILED_PRICE
5,1,36,p1,1,129.95,SUCCESS
5,3,39,p1,1,220.79999999999998,FAILED_PRICE
5,3,39,p2,1,336.95,FAILED_PRICE
5,3,39,p3,1,387.54999999999995,FAILED_PRICE
5,3,39,p4,1,555.4499999999999,FAILED_PRICE
5,0,45,p1,1,178.25,FAILED_PRICE
5,0,45,p2,1,243.79999999999998,FAILED_PRICE
5,0,45,p3,1,366.84999999999997,FAILED_PRICE
5,0,45,p4,1,463.45,FAILED_PRICE
5,2,47,p1,1,147.2,FAILED_PRICE
5,2,47,p2,1,338.09999999999997,FAILED_PRICE
5,2,47,p3,1,364.54999999999995,FAILED_PRICE
5,2,47,p4,1,473.79999999999995,FAILED_PRICE
5,1,1,p2,1,282.9,FAILED_PRICE
5,1,1,p1,1,129.95,SUCCESS
5,0,34,p1,1,178.25,FAILED_PRICE
5,0,34,p2,1,243.79999999999998,FAILED_PRICE
5,0,34,p3,1,366.84999999999997,FAILED_PRICE
5,0,34,p4,1,463.45,FAILED_PRICE
5,3,3,p2,1,336.95,FAILED_PRICE
5,3,3,p1,1,220.79999999999998,FAILED_PRICE
5,3,3,p3,1,387.54999999999995,FAILED_PRICE
5,3,3,p4,1,555.4499999999999,FAILED_PRICE
6,2,48,p1,1,147.2,FAILED_PRICE
6,2,48,p2,1,338.09999999999997,FAILED_PRICE
6,2,48,p3,1,364.54999999999995,FAILED_PRICE
6,2,48,p4,1,473.79999999999995,FAILED_PRICE
6,3,40,p1,1,220.79999999999998,FAILED_PRICE
6,3,40,p2,1,336.95,FAILED_PRICE
6,3,40,p3,1,387.54999999999995,FAILED_PRICE
6,3,40,p4,1,555.4499999999999,FAILED_PRICE
6,1,42,p1,1,129.95,SUCCESS
6,3,35,p1,1,220.79999999999998,FAILED_PRICE
6,3,35,p2,1,336.95,FAILED_PRICE
6,3,35,p3,1,387.54999999999995,FAILED_PRICE
6,3,35,p4,1,555.4499999999999,FAILED_PRICE
7,1,47,p1,1,129.95,SUCCESS
7,2,46,p1,1,147.2,FAILED_PRICE
7,2,46,p2,1,338.09999999999997,FAILED_PRICE
7,2,46,p3,1,364.54999999999995,FAILED_PRICE
7,2,46,p4,1,473.79999999999995,FAILED_PRICE
7,3,3,p2,1,336.95,FAILED_PRICE
